Sensor Impersonation attack;Replay attack;Denial of service attack;Random signal in range;t5;t4
19;40;25;26;28;27
19;40;25;28;28;28
19;40;25;25;27;27
19;39;25;26;27;28
19;40;25;25;27;27
19;40;25;29;28;28
18;39;25;26;27;27
19;40;25;25;27;28
19;40;25;29;28;28
19;40;25;26;28;28
19;40;25;25;27;27
19;40;25;28;28;28
19;40;25;26;28;28
19;40;25;28;28;27
19;40;25;28;28;28
19;40;25;28;28;27
19;40;25;29;28;27
19;40;25;29;28;27
18;39;24;31;28;28
19;39;24;30;28;27
19;39;25;27;28;27
18;39;25;27;27;27
19;39;24;28;28;27
18;39;24;30;28;27
19;39;24;30;28;27
19;39;24;31;28;27
19;39;24;26;27;27
19;39;24;29;28;27
18;39;24;27;27;27
19;39;24;27;27;27
18;39;24;26;27;27
19;39;24;27;27;27
18;39;24;28;27;27
19;39;24;26;27;27
18;39;24;28;27;27
19;39;24;27;27;27
19;39;24;29;28;27
19;39;24;27;27;27
19;38;24;25;27;27
19;38;24;29;28;27
18;39;24;30;28;27
19;39;24;29;28;27
19;38;24;29;28;27
19;38;24;27;27;27
19;38;24;30;28;27
19;38;24;27;27;27
19;38;24;31;28;28
19;38;24;30;28;26
19;38;24;27;27;27
18;38;24;27;27;27
19;38;24;27;27;27
19;38;24;30;28;27
19;38;24;26;27;27
19;38;24;29;28;27
19;38;24;27;27;27
19;38;24;30;28;27
19;38;23;30;28;27
19;38;24;26;27;27
18;38;24;30;28;27
19;38;24;28;27;27
19;38;23;28;27;27
18;38;24;26;27;27
19;37;23;27;27;27
19;37;23;26;26;26
19;38;24;28;27;27
19;38;24;28;27;27
19;38;24;25;27;27
19;38;23;27;27;27
19;38;24;28;27;26
19;38;24;27;27;27
19;37;23;29;27;26
18;37;23;26;26;26
18;37;23;28;27;26
19;37;23;28;27;27
19;37;23;30;27;27
19;37;23;31;28;27
19;37;23;27;27;26
19;38;23;31;28;26
19;38;23;29;27;27
19;37;23;30;27;26
19;37;23;28;27;26
19;38;23;29;27;27
19;37;23;31;28;26
19;37;23;29;27;26
19;37;23;28;27;26
19;37;23;29;27;26
19;37;23;31;28;26
19;37;23;27;27;26
19;37;23;28;27;26
19;37;23;29;27;26
19;37;23;27;27;26
19;37;23;27;27;26
19;37;23;29;27;26
19;36;23;29;27;26
19;37;23;27;27;26
19;37;23;29;27;26
19;37;23;26;26;26
19;36;23;26;26;26
19;37;23;28;27;26
20;37;23;28;27;26
19;37;23;28;27;26
19;37;23;28;27;26
19;37;23;26;26;26
19;37;22;29;27;26
19;37;22;30;27;26
19;36;22;30;27;26
20;37;23;29;27;26
20;37;23;31;28;27
19;37;23;32;28;26
19;37;23;28;27;26
19;37;23;30;27;26
20;36;22;28;27;26
19;36;22;30;27;26
20;37;22;30;27;26
19;37;22;31;27;26
20;37;22;29;27;26
19;36;22;29;27;26
20;37;22;28;27;26
20;36;22;29;27;26
20;36;22;28;27;26
20;36;22;28;27;26
20;36;22;30;27;26
20;36;22;30;27;26
20;36;22;30;27;26
20;36;22;28;27;26
20;36;22;31;27;26
20;36;22;29;27;26
20;36;22;27;26;26
20;36;22;28;27;26
20;36;22;31;27;26
20;36;22;31;27;26
20;36;22;28;27;26
20;36;22;29;27;26
20;36;22;28;27;26
20;36;22;31;27;26
20;36;22;29;27;26
20;36;22;31;27;26
20;36;22;32;28;26
20;36;21;32;27;26
20;36;22;28;27;26
20;36;22;30;27;26
20;36;22;33;28;26
20;36;22;28;27;26
20;36;22;29;27;26
20;36;22;30;27;26
20;36;21;29;27;26
21;35;21;29;27;26
21;36;22;26;26;26
20;36;22;31;27;26
21;36;22;27;27;26
20;36;22;29;27;26
20;35;21;31;27;26
21;35;22;28;27;26
21;35;22;30;27;26
21;35;21;28;26;26
21;35;21;31;27;26
21;35;21;29;27;26
21;35;22;27;26;26
21;35;21;29;27;25
21;35;22;29;27;26
21;35;21;29;27;25
21;35;21;31;27;26
21;35;22;30;27;26
21;35;21;28;26;26
21;35;21;28;26;26
21;35;21;32;27;25
21;35;21;30;27;25
21;35;22;27;26;25
21;35;21;29;27;26
21;34;22;29;27;26
21;35;21;31;27;26
21;35;21;31;27;26
21;35;21;31;27;26
21;34;21;29;26;25
21;35;21;28;26;26
21;35;21;30;27;26
21;35;21;31;27;26
22;35;21;31;27;26
21;35;22;28;27;26
22;35;21;32;28;25
22;35;21;29;27;25
21;35;21;32;27;26
22;35;21;32;28;26
22;34;21;29;27;26
22;34;21;29;27;26
22;35;21;29;27;25
21;35;21;31;27;25
22;34;21;27;26;26
22;34;21;27;26;25
21;35;21;28;26;25
21;34;21;26;26;25
21;34;21;30;27;25
22;34;21;28;26;25
21;34;21;25;25;26
22;34;21;26;26;26
21;34;21;26;26;25
21;34;21;28;26;25
22;34;21;28;26;26
22;34;21;27;26;26
22;34;21;27;26;25
22;34;21;29;27;25
22;34;21;29;27;26
22;34;21;28;26;25
22;34;21;30;27;25
22;34;21;30;27;25
22;33;21;32;27;25
22;34;21;31;27;26
22;34;21;30;27;26
22;34;21;30;27;25
22;34;20;32;27;26
22;34;21;29;27;25
22;34;21;32;27;25
22;33;21;31;27;25
22;33;21;30;27;25
22;34;21;29;27;25
22;34;21;27;26;25
22;33;21;31;27;25
23;34;20;27;26;25
23;33;20;31;27;25
23;34;20;29;27;25
23;34;20;32;27;26
23;33;20;32;27;25
23;34;21;29;27;25
23;33;20;27;26;25
22;34;20;30;27;25
23;33;20;27;26;25
23;34;20;28;26;25
22;33;20;27;26;25
23;33;20;31;27;25
23;33;20;26;26;25
23;33;20;26;26;26
23;33;20;28;26;25
23;33;20;26;26;25
23;33;20;28;26;25
23;34;20;26;26;25
23;33;20;26;26;25
23;33;20;25;25;25
23;33;20;24;25;25
23;33;20;25;25;25
23;33;20;28;26;25
23;33;20;25;25;25
23;33;20;24;25;25
23;32;20;23;25;25
23;33;20;27;26;25
23;33;20;24;25;25
23;33;21;27;26;25
23;33;20;27;26;25
23;33;20;25;25;25
24;33;20;26;26;25
23;33;20;27;26;25
23;33;20;27;26;25
23;33;20;27;26;25
23;33;20;24;25;25
23;33;20;26;26;25
24;32;20;25;25;25
24;33;20;29;27;25
24;33;20;25;26;24
23;33;20;25;25;25
24;33;20;27;26;25
23;33;20;27;26;25
23;32;20;26;25;25
24;33;20;29;27;25
24;33;20;28;26;25
24;32;20;29;26;25
24;32;20;26;26;25
24;32;19;26;25;25
24;33;20;25;26;25
24;32;20;26;26;25
24;32;20;28;26;25
24;32;20;27;26;25
24;33;20;28;26;25
24;33;20;30;27;25
24;32;20;29;26;25
24;32;20;29;26;25
24;32;20;30;27;25
24;31;19;28;26;25
24;32;20;28;26;25
24;32;20;29;26;25
24;32;20;29;26;25
24;32;20;30;27;25
24;32;20;29;26;25
24;32;20;30;27;25
24;32;20;31;27;25
24;32;20;31;27;25
24;32;20;27;26;25
24;32;20;31;27;25
24;32;20;29;26;24
24;32;20;29;26;25
25;32;20;31;27;25
24;32;20;30;27;25
24;32;20;31;27;25
24;32;20;31;27;25
24;32;19;31;27;25
25;32;20;29;27;25
24;32;19;29;26;25
25;32;19;31;27;25
25;32;19;31;27;25
24;32;20;30;27;25
25;32;19;29;26;25
25;32;20;31;27;25
24;32;19;28;26;25
25;32;19;31;27;25
25;31;19;32;27;24
25;31;19;32;27;25
25;32;19;32;27;25
25;32;19;32;27;25
25;31;19;34;27;25
25;32;19;33;27;25
25;31;19;32;27;25
25;31;19;33;27;25
25;31;19;33;27;25
25;31;19;31;27;24
25;31;19;32;27;24
25;32;19;34;28;25
25;31;19;33;27;25
25;31;19;32;27;24
25;31;19;32;27;24
25;32;19;31;27;24
25;31;19;30;26;25
25;32;19;31;27;25
25;31;19;33;27;24
25;31;19;32;27;24
26;31;19;32;27;25
25;31;19;31;27;25
25;31;19;30;26;24
25;31;18;29;26;24
25;31;19;32;27;24
25;31;19;29;26;25
25;31;19;29;26;24
25;31;19;29;26;25
25;31;19;27;26;24
25;31;19;31;27;25
25;31;19;30;26;24
25;31;19;30;26;24
26;31;19;27;26;24
25;31;19;27;26;24
25;31;19;32;27;24
25;31;19;28;26;24
26;30;19;28;26;24
25;31;18;29;26;24
25;31;19;28;26;24
26;31;19;27;26;24
26;31;19;28;26;24
25;30;18;28;25;24
26;31;19;27;26;24
26;31;19;28;26;24
25;30;18;25;25;24
26;30;19;28;26;23
26;31;19;26;26;25
26;31;19;28;26;24
26;31;19;26;26;24
26;31;19;29;26;24
26;31;19;28;26;24
26;30;19;26;25;24
26;30;18;27;25;24
26;30;18;28;26;24
26;31;18;25;25;24
26;30;18;28;26;24
26;30;18;28;26;24
26;30;18;26;25;24
26;30;19;26;25;24
26;30;19;27;26;24
26;30;19;27;26;24
26;30;19;27;26;24
27;30;18;27;26;24
26;30;18;29;26;24
26;30;18;30;26;24
26;30;18;29;26;24
26;30;18;27;25;24
27;30;18;26;25;24
26;30;18;28;26;24
26;30;18;26;25;24
26;30;18;26;25;24
26;30;18;27;25;24
26;30;18;26;25;25
26;30;18;29;26;24
26;30;18;29;26;24
26;30;18;30;26;24
26;30;18;29;26;24
26;30;18;28;26;24
27;30;18;30;26;24
27;30;18;31;27;24
27;30;18;31;27;24
26;30;18;28;26;24
27;30;18;32;27;24
27;30;18;31;27;24
26;29;18;33;27;24
27;30;18;29;26;24
27;30;18;28;26;24
27;29;18;29;26;24
27;30;18;31;27;24
27;30;18;32;27;24
27;29;18;32;27;24
27;30;18;27;26;24
27;30;18;28;26;24
27;30;19;32;27;24
27;30;19;30;27;24
27;30;19;29;26;24
27;30;20;29;27;24
27;30;19;28;26;24
27;30;20;30;27;24
27;30;20;30;27;24
27;30;20;29;27;24
27;30;20;30;27;24
26;30;21;32;27;24
27;29;21;29;27;24
27;29;22;28;27;24
27;29;22;32;28;24
27;30;22;32;28;24
27;30;22;33;28;24
27;29;22;33;28;24
27;30;23;29;27;24
27;30;23;34;29;24
27;30;23;32;28;24
27;29;23;29;27;24
27;29;23;33;28;24
27;29;24;30;28;24
27;30;24;30;28;24
27;29;24;30;28;24
27;29;24;33;28;24
27;29;25;28;27;24
28;29;25;31;28;24
27;29;25;30;28;24
27;29;25;33;29;24
28;29;26;32;29;24
27;29;26;33;29;24
27;30;26;33;29;24
28;29;26;34;29;24
27;29;26;32;29;24
28;29;26;29;28;24
28;29;26;29;28;24
27;29;27;29;28;24
27;29;27;31;29;24
28;29;27;27;28;24
27;29;27;27;28;24
27;29;27;29;28;24
27;29;27;28;28;24
28;29;27;30;29;24
27;29;27;29;28;24
27;29;27;30;28;24
28;29;28;27;28;24
27;29;28;28;28;24
27;29;28;29;28;24
27;29;28;31;29;24
28;29;28;29;29;24
28;29;28;29;29;24
28;29;28;30;29;24
28;29;28;30;29;24
28;29;29;30;29;24
28;29;29;28;29;24
28;30;29;27;29;24
28;29;29;31;29;24
28;29;29;31;29;24
28;29;29;27;28;24
28;29;29;29;29;24
27;29;29;29;29;24
28;29;30;28;29;24
28;29;30;30;29;24
28;29;30;28;29;24
28;28;30;30;29;24
28;29;30;31;30;24
28;29;30;29;29;24
28;29;31;30;30;24
28;29;30;32;30;24
28;29;31;28;29;24
28;29;31;30;30;24
28;29;31;30;30;24
28;29;31;30;30;24
28;29;31;30;30;24
28;29;32;29;30;24
28;29;31;32;30;24
28;29;32;30;30;24
28;29;32;31;30;24
28;29;32;32;30;24
28;29;32;33;31;24
28;28;31;30;29;24
28;28;32;31;30;24
28;29;32;30;30;23
28;28;33;29;30;23
28;28;33;30;30;23
28;28;32;30;30;24
28;29;33;29;30;23
28;28;33;27;29;24
28;28;33;27;29;24
28;28;33;28;29;23
28;28;33;27;29;23
27;28;33;30;30;24
28;28;33;27;29;23
28;28;33;30;30;23
28;28;33;27;29;24
28;28;33;29;30;24
28;28;33;30;30;24
28;28;34;29;30;24
29;28;34;28;30;24
28;28;34;29;30;23
28;28;34;30;30;23
28;28;34;28;30;24
28;28;34;28;30;24
28;28;34;28;30;24
28;28;34;30;30;24
28;28;34;31;30;24
28;28;34;28;30;23
29;28;34;29;30;24
29;28;34;31;31;23
29;28;34;27;30;23
29;28;34;28;30;23
29;28;34;29;30;23
29;28;34;30;30;23
28;28;34;30;30;24
29;28;34;31;31;23
29;28;34;31;31;23
29;28;34;28;30;23
29;28;34;31;31;23
29;28;35;30;31;24
29;28;34;32;31;23
29;28;34;28;30;23
29;28;34;31;31;23
29;28;34;29;30;23
29;28;34;28;30;23
29;28;34;28;30;24
29;28;34;29;30;23
29;28;35;31;31;23
29;28;34;27;30;23
29;28;34;28;30;23
29;28;34;31;31;23
29;28;34;29;30;23
29;28;34;29;30;23
29;27;34;26;29;23
29;28;34;30;30;23
29;28;34;27;30;23
29;28;34;30;30;24
29;28;34;27;30;23
29;28;0;28;21;23
29;28;34;27;30;23
29;28;0;30;22;23
29;28;0;27;21;23
29;28;34;27;30;23
29;28;0;26;21;23
29;28;0;30;22;23
29;28;34;28;30;23
29;28;0;26;21;23
29;28;0;29;22;23
29;27;0;29;21;23
29;28;0;30;22;23
29;28;0;27;21;24
29;28;0;29;22;24
29;28;0;28;21;23
29;28;0;29;22;24
29;27;0;28;21;24
29;28;0;26;21;23
29;28;35;29;30;24
29;28;35;30;31;24
29;27;35;31;31;23
30;27;34;27;30;23
30;27;35;27;30;23
29;28;35;30;31;23
29;28;35;27;30;23
29;27;35;27;30;23
29;28;35;30;31;24
29;27;35;27;30;23
29;27;35;28;30;24
30;27;35;26;30;24
29;27;35;30;30;23
30;27;35;28;30;23
30;27;34;28;30;23
29;27;34;28;30;23
30;27;34;26;29;23
30;27;34;26;29;23
30;28;34;28;30;23
30;27;34;29;30;23
30;27;34;27;30;24
30;27;34;27;30;23
29;27;34;28;30;23
30;27;34;29;30;24
29;27;34;27;29;24
30;27;34;25;29;23
30;27;33;30;30;23
30;27;34;28;30;23
30;27;34;27;30;23
30;27;34;27;30;23
30;27;33;28;30;24
29;27;33;30;30;23
30;27;34;31;31;23
30;27;33;29;30;23
30;27;33;27;29;24
30;27;33;29;30;23
30;27;33;31;30;23
30;27;33;27;29;23
30;27;33;30;30;23
30;27;33;31;30;23
30;27;33;30;30;23
30;27;33;27;29;23
30;28;33;27;30;24
30;27;33;30;30;24
30;27;33;26;29;24
30;27;33;26;29;24
30;27;33;28;30;23
30;27;33;28;30;24
30;27;33;29;30;24
30;27;33;26;29;24
30;27;33;29;30;24
29;27;33;29;30;24
30;26;33;29;30;23
30;27;32;28;29;24
30;27;33;27;29;23
30;27;32;26;29;23
30;27;33;26;29;23
30;27;32;28;29;23
30;27;32;27;29;23
30;27;32;28;29;23
30;27;32;29;30;23
30;27;32;25;29;23
30;27;32;27;29;23
30;27;32;28;29;23
30;27;32;29;30;23
30;27;32;27;29;23
30;27;32;25;29;23
30;27;32;29;30;23
30;26;31;29;29;24
30;27;32;28;29;24
30;27;32;26;29;24
30;27;32;28;29;23
30;27;31;26;29;24
30;27;32;29;30;24
30;27;31;29;29;23
30;27;31;29;29;23
30;27;31;26;29;23
30;27;31;26;29;23
30;26;32;31;30;23
30;26;31;31;30;23
30;27;32;31;30;23
30;27;31;32;30;23
30;27;31;31;30;23
30;26;32;30;30;23
30;27;31;29;29;23
30;27;31;30;30;23
30;26;31;29;29;23
30;26;31;31;30;23
30;26;31;32;30;23
31;27;31;32;30;23
31;26;31;32;30;23
30;26;31;30;29;23
31;26;31;29;29;23
30;27;31;32;30;23
30;27;31;30;30;23
31;26;31;32;30;23
30;26;31;33;30;23
30;27;31;32;30;23
30;27;31;33;30;23
31;26;31;33;30;23
31;26;31;31;30;23
30;26;31;31;30;23
31;26;31;31;30;23
31;26;31;34;31;24
30;26;30;31;29;23
31;26;30;33;30;23
30;26;30;34;30;23
31;26;30;29;29;23
31;26;30;30;29;24
31;26;30;31;30;23
30;26;30;30;29;23
31;26;30;32;30;23
30;26;30;31;29;23
31;26;30;33;30;23
30;26;30;31;29;24
31;26;30;29;29;23
31;26;30;31;30;23
31;26;30;32;30;23
31;26;30;32;30;23
31;26;30;32;30;23
31;26;30;33;30;23
31;26;30;31;30;23
31;26;30;34;30;23
31;26;30;32;30;23
31;26;30;30;29;24
31;26;30;30;29;23
31;26;30;30;29;23
31;26;30;33;30;23
31;26;30;29;29;23
31;26;30;29;29;23
30;26;30;27;28;23
31;26;30;28;29;23
31;26;30;28;29;23
31;26;29;27;28;23
31;26;29;28;29;24
31;26;29;26;28;23
31;26;29;29;29;23
31;26;30;27;29;23
31;26;29;27;28;23
31;26;29;28;29;23
31;26;29;29;29;23
31;26;29;28;29;23
31;26;29;26;28;23
31;26;29;28;29;24
31;26;29;27;28;23
31;26;29;29;29;23
31;26;29;28;29;23
31;26;29;27;28;23
31;26;29;26;28;23
31;26;29;26;28;23
30;26;29;25;28;23
31;26;29;24;28;23
31;26;29;28;29;23
31;26;29;28;29;23
31;26;29;24;28;23
31;26;29;24;28;23
31;26;29;25;28;23
31;26;29;26;28;24
31;26;28;27;28;23
31;26;29;24;28;23
31;26;28;23;27;24
32;26;29;27;29;23
31;26;29;23;27;23
31;26;28;25;28;23
31;26;28;25;28;23
31;26;28;27;28;23
31;25;28;28;28;24
31;26;28;24;27;23
32;26;28;25;28;23
31;26;28;24;27;23
31;26;28;26;28;23
31;26;28;27;28;23
32;25;28;27;28;23
31;26;28;24;27;23
31;26;28;27;28;23
31;26;28;24;27;23
32;26;28;26;28;23
31;26;28;24;27;23
32;26;28;27;28;23
31;26;28;28;28;23
31;26;29;28;29;23
32;26;29;26;28;23
31;26;29;27;28;23
31;25;29;29;29;23
32;26;29;28;29;23
32;25;29;27;28;23
32;25;29;26;28;23
31;26;30;25;28;23
32;26;30;28;29;23
32;25;30;26;28;23
31;25;30;28;29;23
32;26;30;27;29;23
31;25;31;28;29;23
32;25;31;30;30;23
32;26;30;30;30;23
31;25;31;30;29;23
32;26;31;27;29;23
31;25;31;28;29;23
32;25;31;30;30;23
32;25;32;29;30;23
32;25;32;31;30;23
32;25;32;28;29;23
32;25;32;27;29;23
31;26;32;28;29;24
31;25;32;29;29;23
31;25;32;28;29;23
32;25;32;30;30;23
32;25;32;30;30;23
32;26;32;30;30;23
32;25;33;29;30;23
32;25;33;31;30;23
32;26;32;31;30;23
32;25;33;30;30;23
32;25;33;32;31;23
31;25;33;32;30;23
32;25;33;32;31;23
31;25;33;33;31;23
32;25;33;32;31;23
32;25;33;32;31;23
31;25;33;31;30;23
32;25;33;32;31;23
32;25;33;34;31;23
31;25;33;29;30;23
32;25;33;30;30;23
32;25;33;28;30;23
32;25;33;32;31;23
31;25;34;28;30;24
31;25;34;31;30;24
32;26;34;30;31;23
32;25;34;32;31;23
31;25;34;30;30;23
32;25;34;32;31;23
32;25;34;32;31;23
32;25;34;32;31;23
32;25;34;32;31;23
31;25;34;30;30;23
31;25;34;33;31;23
32;25;34;33;31;24
32;25;34;30;30;24
32;25;34;32;31;23
32;25;34;29;30;23
32;25;34;32;31;23
32;25;34;29;30;23
32;25;34;32;31;23
31;25;34;32;31;23
32;25;34;31;31;23
32;25;34;31;31;23
32;25;34;32;31;23
32;25;34;34;31;23
32;25;34;30;30;23
32;25;34;30;30;23
32;25;35;29;30;23
32;25;34;29;30;23
32;25;34;32;31;23
32;25;34;29;30;23
32;25;34;28;30;23
32;25;35;31;31;23
32;25;35;28;30;23
32;25;35;28;30;23
32;25;35;29;30;23
32;25;35;30;31;23
32;24;35;30;30;23
32;25;35;28;30;23
32;25;35;27;30;23
32;25;35;28;30;23
32;25;35;28;30;23
32;25;35;29;30;23
32;25;35;27;30;23
32;25;35;26;30;23
32;25;35;28;30;23
32;25;35;27;30;23
33;25;35;28;30;23
33;25;35;30;31;23
32;25;35;27;30;23
33;25;35;26;30;23
33;25;35;30;31;23
32;25;35;26;30;24
33;25;35;26;30;23
33;25;35;27;30;23
32;25;35;26;30;23
33;24;35;29;30;23
32;25;35;29;30;23
32;25;35;29;30;23
32;24;35;30;30;23
32;25;35;27;30;23
32;25;35;29;30;23
32;25;35;26;30;23
33;25;35;27;30;23
33;24;35;29;30;23
32;25;35;26;30;23
32;25;35;30;31;23
32;25;35;30;31;23
33;25;35;31;31;23
32;24;35;31;31;23
33;25;35;28;30;23
33;25;36;31;31;23
33;25;35;33;32;23
32;25;37;29;31;23
33;25;35;32;31;23
32;25;36;28;30;23
33;25;36;28;31;23
32;25;36;29;31;23
33;25;35;27;30;23
33;25;36;30;31;23
33;25;36;27;30;22
32;25;35;26;30;22
32;25;36;26;30;23
33;24;36;28;30;23
33;24;36;27;30;23
33;25;35;28;30;23
32;25;36;27;30;23
33;25;35;26;30;23
33;25;35;28;30;23
33;25;35;28;30;23
33;25;35;27;30;23
33;25;35;25;30;23
33;25;35;30;31;23
33;25;35;29;31;23
33;25;36;26;30;23
32;24;35;29;30;23
33;25;35;28;30;23
33;24;35;28;30;23
33;25;36;29;31;23
33;25;36;30;31;23
33;25;36;31;31;23
33;24;35;30;31;23
32;24;35;31;31;23
33;25;35;28;30;23
33;25;35;32;31;23
33;25;35;29;31;23
33;24;36;28;30;23
33;24;36;29;31;23
32;25;36;30;31;23
33;24;36;27;30;23
33;25;36;29;31;23
32;24;36;27;30;22
33;25;36;28;31;23
33;24;36;30;31;23
33;25;36;29;31;23
33;25;36;31;31;23
33;24;36;30;31;23
33;24;36;30;31;23
33;24;36;29;31;23
33;25;35;27;30;23
33;25;35;30;31;23
33;24;36;29;31;23
33;25;36;28;31;23
33;25;36;28;31;23
33;24;36;28;30;23
33;25;36;29;31;23
33;25;0;30;22;23
33;24;0;31;22;23
33;25;0;28;22;23
33;24;0;28;21;23
33;24;0;27;21;23
33;24;0;28;21;23
33;24;0;26;21;23
33;25;0;29;22;23
33;25;0;29;22;23
33;25;0;26;21;23
33;24;0;30;22;23
33;24;0;28;21;23
33;24;0;30;22;23
33;24;0;28;21;23
33;24;0;28;21;23
33;25;0;29;22;22
33;24;0;31;22;23
33;24;0;27;21;23
33;24;0;26;21;23
33;24;0;26;21;23
33;25;0;26;21;23
33;24;0;29;22;23
33;24;0;26;21;23
33;24;0;26;21;23
33;24;0;28;21;23
33;24;0;25;21;23
33;25;0;28;22;23
33;24;0;28;21;23
33;24;0;28;21;23
32;24;0;28;21;23
33;24;0;30;22;23
33;24;0;30;22;23
33;24;0;27;21;23
33;24;0;30;22;23
33;24;0;29;22;23
33;24;37;28;31;23
33;24;37;31;31;23
33;24;37;29;31;22
33;24;37;28;31;23
33;24;37;29;31;23
33;24;37;28;31;23
33;24;37;30;31;23
33;24;37;28;31;23
